region_name,brand_name,buy_price,sell_price,spread,capture_timestamp
TP. Hồ Chí Minh,SJC,150900,152900,2000,2025-11-25 10:42:44
TP. Hồ Chí Minh,PNJ,150900,152900,2000,2025-11-25 10:42:44
TP. Hồ Chí Minh,DOJI,150900,152900,2000,2025-11-25 10:42:44
TP. Hồ Chí Minh,Mi Hồng,151000,152900,1900,2025-11-25 10:42:44
TP. Hồ Chí Minh,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:42:44
Miền Bắc,SJC,150900,152900,2000,2025-11-25 10:42:44
Hạ Long,SJC,150900,152900,2000,2025-11-25 10:42:44
Hải Phòng,SJC,150900,152900,2000,2025-11-25 10:42:44
Miền Trung,SJC,150900,152900,2000,2025-11-25 10:42:44
Huế,SJC,150900,152900,2000,2025-11-25 10:42:44
Quảng Ngãi,SJC,150900,152900,2000,2025-11-25 10:42:44
Nha Trang,SJC,150900,152900,2000,2025-11-25 10:42:44
Biên Hòa,SJC,150900,152900,2000,2025-11-25 10:42:44
Miền Tây,SJC,150900,152900,2000,2025-11-25 10:42:44
Miền Tây,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:42:44
Bạc Liêu,SJC,150900,152900,2000,2025-11-25 10:42:44
Cà Mau,SJC,150900,152900,2000,2025-11-25 10:42:44
Hà Nội,PNJ,150900,152900,2000,2025-11-25 10:42:44
Hà Nội,DOJI,150900,152900,2000,2025-11-25 10:42:44
Hà Nội,Bảo Tín Minh Châu,151400,152900,1500,2025-11-25 10:42:44
Hà Nội,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:42:44
Hà Nội,Phú Quý,150400,152900,2500,2025-11-25 10:42:44
Đà Nẵng,PNJ,150900,152900,2000,2025-11-25 10:42:44
Đà Nẵng,DOJI,150900,152900,2000,2025-11-25 10:42:44
Miền Tây,PNJ,150900,152900,2000,2025-11-25 10:42:44
Tây Nguyên,PNJ,150900,152900,2000,2025-11-25 10:42:44
Đông Nam Bộ,PNJ,150900,152900,2000,2025-11-25 10:42:44
Đông Nam Bộ,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:42:44
Bắc Ninh,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:42:44
Hải Dương,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:42:44
Bến Tre,Mi Hồng,151000,152900,1900,2025-11-25 10:42:44
Tiền Giang,Mi Hồng,151000,152900,1900,2025-11-25 10:42:44
Mỹ Tho,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:42:44
Vĩnh Long,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:42:44
Long Xuyên,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:42:44
Cần Thơ,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:42:44
Sa Đéc,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:42:44
Trà Vinh,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:42:44
Tân An,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:42:44
Cập nhật lúc 17:40:23 25/11/2025 https://giavang.org/,Cập nhật lúc 17:40:23 25/11/2025 https://giavang.org/,17402325112025,17402325112025,0,2025-11-25 10:42:44
TP. Hồ Chí Minh,SJC,150900,152900,2000,2025-11-25 10:44:30
TP. Hồ Chí Minh,PNJ,150900,152900,2000,2025-11-25 10:44:30
TP. Hồ Chí Minh,DOJI,150900,152900,2000,2025-11-25 10:44:30
TP. Hồ Chí Minh,Mi Hồng,151000,152900,1900,2025-11-25 10:44:30
TP. Hồ Chí Minh,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:44:30
Miền Bắc,SJC,150900,152900,2000,2025-11-25 10:44:30
Hạ Long,SJC,150900,152900,2000,2025-11-25 10:44:30
Hải Phòng,SJC,150900,152900,2000,2025-11-25 10:44:30
Miền Trung,SJC,150900,152900,2000,2025-11-25 10:44:30
Huế,SJC,150900,152900,2000,2025-11-25 10:44:30
Quảng Ngãi,SJC,150900,152900,2000,2025-11-25 10:44:30
Nha Trang,SJC,150900,152900,2000,2025-11-25 10:44:30
Biên Hòa,SJC,150900,152900,2000,2025-11-25 10:44:30
Miền Tây,SJC,150900,152900,2000,2025-11-25 10:44:30
Miền Tây,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:44:30
Bạc Liêu,SJC,150900,152900,2000,2025-11-25 10:44:30
Cà Mau,SJC,150900,152900,2000,2025-11-25 10:44:30
Hà Nội,PNJ,150900,152900,2000,2025-11-25 10:44:30
Hà Nội,DOJI,150900,152900,2000,2025-11-25 10:44:30
Hà Nội,Bảo Tín Minh Châu,151400,152900,1500,2025-11-25 10:44:30
Hà Nội,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:44:30
Hà Nội,Phú Quý,150400,152900,2500,2025-11-25 10:44:30
Đà Nẵng,PNJ,150900,152900,2000,2025-11-25 10:44:30
Đà Nẵng,DOJI,150900,152900,2000,2025-11-25 10:44:30
Miền Tây,PNJ,150900,152900,2000,2025-11-25 10:44:30
Tây Nguyên,PNJ,150900,152900,2000,2025-11-25 10:44:30
Đông Nam Bộ,PNJ,150900,152900,2000,2025-11-25 10:44:30
Đông Nam Bộ,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:44:30
Bắc Ninh,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:44:30
